id,text,class
ENGLISH_617,' AM SRXN JB BNKS KFJB RLTT KRR KMPL BKS  EKSP RTS INTS LTT KMBT ASXT APRJ KRPR SRFS KMBT PRSN EKSK TL TT AM PRSN PKTP IR ',CAREER
ENG_367,' AKTF IRKT MBL ',INDIAN
ENG_203,' WTS EFKT RSM ',CAREER
ENG_50,' XLT MRTK PRFR ESKR ANLS KMPL LN MTFK ',LOAN
ENG_538,' K PT INT ',VISA
ENG_301,' FT HL0 EFKT STRS ',HEALTH
ENG_594,'  FRMT HRT TRF  MK ',INTERNAL
ENG_291,' KST  KRR KSLN ',CAREER
ENG_92,' INSR KFR AR AMBL ',TOURISM
ENG_453,' NT  EKT EKSM APL  EKT EKSM WL LTN KMN RT KRTR  EKT EKSM  ENK ',CAREER
ENG_561,' UR HSTN SRFK AFL INT USRS ',WEB
ENG_505,' BHRW BHNT INKR ',RECIPES
ENG_316,' APL  F KRNT LN ',LOAN
ENG_467x,' NT TTKT LN ATSL ',TELECOMMUNICATION
ENG_117,' TN PRFL ',HEALTH
ENG_86,' PRST ASSN FL HM KNTN ',INSURANCE
ENG_75,' SRS PKS ',HEALTH
ENG_600,' TNT BL HRT TRF ',INTERNAL
ENG_163x,' NTT FT TRNS TF LNK TSTN ',TELECOMMUNICATION
ENG_11,' PRKT NKK  STR PT ',AGRICULTURE
ENG_496,' PRSN PRSN ',PERSONALITY
ENG_430x,' BNFT ATSL ',TELECOMMUNICATION
ENG_482,' SKS TRF JFN ERR KLT STRT UNT RKST FLR FKS  ',INTERNAL
ENG_137,' BSNL KNKX TL Y ',TELECOMMUNICATION
ENG_135,' Y JT BSNL KN ',TELECOMMUNICATION
ENG_467,' SPRT LN FR ATSL ',TELECOMMUNICATION
ENG_271,' LS RKS FR KM ',TELECOMMUNICATION
ENG_317,' OBTN PRF  MLTR SRFS ',LOAN
ENG_336,' AKRK W0R SRFS ',AGRICULTURE
ENG_329x,' SPX RPRT RKFR ',TELECOMMUNICATION
ENG_551,' WTS HST NM ',WEB
ENG_59,' R INTS RF ST ',GK
ENG_272,' FM PRFR FR MSK TRNS ',TELECOMMUNICATION
ENG_407,' PRFS RSM ',CAREER
ENG_588,' PL TL  TKBL MT SSNN ',RECIPES
ENG_269,' MN EBL FKTM T  TS ',SPORTS
ENG_430,' BNFT ATSL ',TELECOMMUNICATION
ENG_114,' Y ANS KNS RLTT PRPR ',LOAN
ENGLISH_669,' XNL TNL ERP OPN ',GK
ENG_332,' 0R N RSTR FTKR INT ',TOURISM
ENG_237,' F K MB SPF F  R EKSP T JB OPRT ABRT ',CAREER
ENG_36,'  NR PYNK ',INDIAN
ENG_150,' MPS MT EJPT ',TOURISM
ENG_195,' BNK PRFT ET LNS ',BANK
ENG_95,' WLT PTNT RK AR AMBL ',TOURISM
ENG_104,' SPRT LN FR ATSL ',TELECOMMUNICATION
ENG_61,' WTS NTL FLWR BRTS ',GK
ENG_550,' AM ALT XNJ TMN PS WRT ',WEB
ENG_462,' INF PRFT RLBL ',TOURISM
ENG_88,' AMS KRNT KXLS FK ',INSURANCE
ENG_335,' PFT SKT FRKS AFBL FR IMTT ',AGRICULTURE
ENG_472,' NKST KRKT T RLT KP KN B LT ',SPORTS
ENG_455x,' IRKT  RL TKTK ',INDIAN
ENGLISH_624,' N BST TM ST EKSM ',CAREER
ENG_590,' KRN P SKN SP M0T ',RECIPES
ENG_442,' TS ES HL0 PLS KFR BNFT SFRS ILNS KNTR INJR 0R AKKT INT OTST INT ',INSURANCE
ENG_110,' WL KT NR ONK PMNT MT ',INDIAN
ENG_592,' R  B HRTT BLK TT ENKR ',INTERNAL
ENG_349,' MTKL TRNS KRS ',CAREER
ENG_222,' RSKS NTK ENK ',AGRICULTURE
ENG_311x,' SRFS RLTT IRKT MBL ',INDIAN
ENG_123,' TXNK TN PRFL ',HEALTH
ENGLISH_663,' ENST  SWM ',GK
ENG_118,' TR RSK HFTR AFNK TT TRNK BT PRKN FSTN BRBR ',HEALTH
ENG_406,' HL0 EFKT TKSN ',HEALTH
ENG_296x,' X LNKS RFR RLT ',GK
ENG_368,' BK TTKL TKT FRM INTR ',INDIAN
ENG_405x,' X LNKS RFR RLT ',GK
ENG_171x,' X WT ELFN ',GK
ENG_490,' BLK TT ENKR RK MK APL SS ',INTERNAL
ENG_598,' S SKS TRF JFN ERR KLT STRT UNT RKST FLR ',INTERNAL
ENG_258,' FR TKT TLFR T XT PRFT KRR ',INDIAN
ENG_282,' FRM R ST PRXS FRTL ',AGRICULTURE
ENG_447,' RFR KRS MKS KNTT WTR IN S IS ',GK
ENG_411,' FML FLTR PLN ',INSURANCE
ENG_229,' WM KNTK RPRT KRN HS KS EMXN ',AGRICULTURE
ENG_63x,' X KNTR RLTS LRKS TN PRTK ',GK
ENG_427,' TF TRNS UST FM ',TELECOMMUNICATION
ENG_157,' KLTN RS ',AGRICULTURE
ENG_425,' SNK TP KN HT  BRLN ',SPORTS
ENG_591,' ENBL BLK TT ENKR HRTT ',INTERNAL
ENG_58x,' TS KTW  KLF IRN ',GK
ENG_44,' HL0 INSR ABL KRR KNSL ',CAREER
ENG_120,' BNFT TN PRFL ',HEALTH
ENG_391,' PNS LS MBL ',INDIAN
ENG_378,' N FRST KT WRLT KP ',SPORTS
ENG_547,' PSBL KNK PST TMN ',WEB
ENG_419,' AKSP AL EML RK ',LOAN
ENG_532,' STTN FS TMS ENTR KNTR ',VISA
ENG_304,' EKSS TRNK KS KNSR ',HEALTH
ENG_65,' TPT PK TR ERNN  RS S ',SPORTS
ENG_169,' MTX BK MB ',CAREER
ENG_375,' PRT EYS AFKT KTRK ',SPORTS
ENG_216,' FRST INTN   SPS ',GK
ENG_16,' HS SMLP SPRT ',HEALTH
ENG_499,' XLT  FTBK ',PERSONALITY
ENG_305,' FT TFRN KNSR NT KPMN ',INSURANCE
ENG_431,'  EKSP INT  BST ',TOURISM
ENG_541,' HNTL FTS KRFK ',WEB
ENG_595,' WNT KMPT KPST TRF ',INTERNAL
ENG_199,'  TKTF LST ATM KRT ',BANK
ENG_366,' XLT SNXR IRKT MBL ',INDIAN
ENG_187,' FRMR ATPT KRP FRTS TF USNK BTX ',AGRICULTURE
ENG_154,' FTKR RSTR INT EKSS NT ',TOURISM
ENG_259,' T TNT PLN JRN ATFN ',INDIAN
ENGLISH_675,' PLS OLT AT XLTR ',INSURANCE
ENGLISH_653,' ORKN PRTS FR PSTS RST ',SPORTS
ENG_239,' TLTT KNFR EML WBNR NKST ',CAREER
ENG_428x,' TS TT TRNS RKPT TK PLS USNK OPTK KM ',TELECOMMUNICATION
ENG_447x,' X RFR KRS MKS AMT TR S ',GK
ENG_166,' IS KST KRR KNSL ',CAREER
ENG_151,' TLR TRS ',TOURISM
ENG_545,' SMPL WB TMPL ',WEB
ENG_417,'  SPT PRKS ',LOAN
ENG_298,' FX BKST TSRT WRLT ',GK
ENG_457,' PLN JRN USNK INTR RSRF ',INDIAN
ENGLISH_685x,' ST JNRL FR INT ',GK
ENG_324,' FT TSTN BTN KRKT STMP ',SPORTS
ENG_466x,' 0R ATFT USNK ISTN ',TELECOMMUNICATION
ENGLISH_690,' B LRF XNS BKMN STPS ETNK RYL JL TS ',SPORTS
ENG_603,' T TKT KNSL KRKS ',INDIAN
ENG_198,' PRST  APLY KRTT KRT ',BANK
ENG_175,' MX TS KST BR MT ',LOAN
ENG_352x,' X KNTR S LRKS LNT ',GK
ENG_493,' LRNN ENKL IMPR PRSN ',PERSONALITY
ENG_383,' TF BRTK LNKR TST LRJ KFRJ ',TELECOMMUNICATION
ENG_55,' NT FLR ITL ',GK
ENG_451,' KRR KNSL LP M ',CAREER
ENG_571,' PTT XP KK ',RECIPES
ENG_492,' PSBL IMPF PRSN ',PERSONALITY
ENG_412,' TS KXLS KLM ',INSURANCE
ENGLISH_608,' AM TX KMP SK STTN  MK KRR ARXL ',CAREER
ENG_347,' AFTR BKM AKKN ',CAREER
ENG_299x,' TS NM LRKS OKRN RLT ',GK
ENG_515,' KK NT XTN ',RECIPES
ENG_170x,' TS MN EKSP JMK ',GK
ENG_519,' TK BL MKSK PS ',RECIPES
ENG_583,'  MK SMBR MM ',RECIPES
ENG_506,' BHRW BNKN ',RECIPES
ENGLISH_680,' EP HSRT AR PLTN AR ',HEALTH
ENG_300,' FT TFRN ATTF 0T ATT WN ',HEALTH
ENG_275,' BRN WT FNTR ',TOURISM
ENG_485,'  KB KLP JMPR STN ',INTERNAL
ENG_28,' WTS RMBR KRNT AKK ',BANK
ENG_473,' PT T KRT BT ',SPORTS
ENG_246,' ULSR KST ALKH ',HEALTH
ENG_230,' AM RTRN INT RTN ASTS US ',BANK
ENG_333,' FT MJR TRST INT ',TOURISM
ENG_253,' K PMNT MNS ',INSURANCE
ENG_312,' FT STPS  JTNK IRKT SRFS ',INDIAN
ENG_579,' MNKL RSM RSP PL ',RECIPES
ENG_173x,' X KNTR IRN SN NK TL T ',GK
ENG_155,'  INF ABT TRNS PSTS ',AGRICULTURE
ENG_276,' R EJPT MPS ',TOURISM
ENG_380,' TSTF RLT SPS ',TELECOMMUNICATION
ENG_103,' ATFN ISTN ',TELECOMMUNICATION
ENG_185,' AKR B TXNL ',AGRICULTURE
ENG_401,' TS MLT KT KK ',BANK
ENG_172x,' S KL ',GK
ENG_565,' US JF SKRP PJ ',WEB
ENG_296,' FX RFR WRLT ',GK
ENG_105,' IXNJ FRM  BRTB TT RT  AN0R ',TELECOMMUNICATION
ENG_409,' TFRN TNTL JNST ASST ',HEALTH
ENG_26,' TSK KR PWR ',BANK
ENGLISH_616,' TS HK RFR MN KLSP RTS ',SPORTS
ENG_179,' KR PTS FLT ',TOURISM
ENG_379,' MN ISLN INTN F ',SPORTS
ENGLISH_678,' KNTX XT ABT ',INSURANCE
ENGLISH_651,' NT LF INSR ',INSURANCE
ENGLISH_628,' FL FKSN PRKN KS FLS F HFTS RSLT ',HEALTH
ENG_568,' WTS AMT TT TR PJ ',WEB
ENG_295,' FX ANML S WT BLT ',GK
ENGLISH_670,' MRJR 0XR PM ',GK
ENG_408,'  T AFTR  FRM HMNT STRM ',CAREER
ENGLISH_627,' AM INFK IM TKNK ANTR TRKS NTTK FRL LT ',HEALTH
ENG_343,' PRKS KRKS FR NFT TRNS ',BANK
ENG_267,'  WMN KLT MTLS ',SPORTS
ENG_52,' IM HFN PRBS APRS F HLP ',LOAN
ENG_244,' NM ST INTN NF XF FS ATMR ',GK
ENG_126,' SSNS L JRK PL INNK KM ',SPORTS
ENG_386,' XLT FML WR EKPT ',TOURISM
ENG_172,' IS S KKL ',GK
ENG_208,' KRR KNSL PRSS KN  ',CAREER
ENG_279,' BTST MTKL TRNS MNS T ',TOURISM
ENG_348,' BTR MB AFTR BK MK ',CAREER
ENG_526,' INTN BS FS RKT ',VISA
ENG_524,' NKK SRKS KP PSPT ',VISA
ENG_569,' MNTN MSLF ST ST ',WEB
ENG_184,' TS KXLS FKLT ',INSURANCE
ENG_470,' HS ST PLR  KPTN  TF NL XMPN TMS ',SPORTS
ENG_369x,' KRTT KRT INF UST SF IRKT MBL ',INDIAN
ENG_351,' MN BTS MKBT ',GK
ENG_19,' HM INSR FLT WF KXN KLS ',INSURANCE
ENG_280,' FT PRTK BTXN SF  ET ',AGRICULTURE
ENG_112,' Y  PRXS F PRP ',LOAN
ENG_418,' PNLT  OFRT ITMS ',LOAN
ENG_165x,' ATSL FSTR 0N TL KPNS ',TELECOMMUNICATION
ENG_140,' HPNS XFT HS TLKM ',TELECOMMUNICATION
ENG_223,' XT SPSN BT TRS ',AGRICULTURE
ENG_461,' EKSP RKRT TPN ',TOURISM
ENG_285,' FT BNFT KSP ',BANK
ENG_426x,' R KT AKRB ',TELECOMMUNICATION
ENG_564,' WTS KJ AKSS ',WEB
ENG_424,' SMBL LNKT  TMKR PRT  KRTN TMS NST ',SPORTS
ENG_200,' NTFS ',BANK
ENG_136x,' LP KTNK BSNL KNKS ',TELECOMMUNICATION
ENG_15,' WTS TRTM PKS ',HEALTH
ENG_18,' SMLP MN IMN LF ',HEALTH
ENG_469,' SPX RPRT RKFR ',TELECOMMUNICATION
ENG_537,' FM MSK TLH ',VISA
ENG_520,'  TKBL MT SSNN ',RECIPES
ENG_167,' ANSW INTF KS ',CAREER
ENG_579,' ELBR STPS  TKBL MT SSNN ',RECIPES
ENG_171,' X LNT T ELFN ',GK
ENG_387,' MTS BFR FSTN INT ',TOURISM
ENG_578,' ES  PRP TK BL MKSK PS ',RECIPES
ENG_107,' KT TTL TRNS AF NTR KRS ',INDIAN
ENG_580,' Y JM RSP KRN PS SKN SP ',RECIPES
ENG_556,' WTS ATRS ',WEB
ENG_410,' T SMPT SMLP ',HEALTH
ENG_392,' IRKT MB ',INDIAN
ENG_228,' BTX KRT FR FT B S ',AGRICULTURE
ENG_409,' MTX AFTR BK ',CAREER
ENG_370,' R BN FR INTR LN ',LOAN
ENG_405,' KRR KNKL ',CAREER
ENG_448x,' TS FLFR UN ',GK
ENG_478,' INKM SSTM HRT TRF INST ',INTERNAL
ENG_539,' NM INTS KPTL ',VISA
ENG_255,' AKTF IRKT MBL ',INDIAN
ENG_189,' R FRTL PSTS ',AGRICULTURE
ENG_113,' WRS LST F HMS SL ',LOAN
ENG_116,' F FNNS F ONT PRP PRXS ',LOAN
ENG_99,'  PMNT  ETKT ',INDIAN
ENG_310,' FT BNFT USNK IRKT ',INDIAN
ENG_192,' WTS KMPS ',AGRICULTURE
ENG_587,' TKBL MKSK PS RSP ',RECIPES
ENG_5,' KRR KNSL SSNS KNFT ',CAREER
ENGLISH_612,' KRTT KRT INF IRKT MBL SF ',INDIAN
ENG_156,' BTX BNFT AKR EKNM ',AGRICULTURE
ENG_78x,' UPLN TNLN FRKS ',TELECOMMUNICATION
ENG_334,' UR ST AKSP FRN KRTT KRTS ',TOURISM
ENG_402,' LN ENKL XNL IS ',GK
ENG_504,'  SWT SR MNK XTN ',RECIPES
ENG_543,' Y FLX ',WEB
ENG_433,' TS TSTN BT BHMX XRT ',TOURISM
ENGLISH_666,' AT PLS TTLS A0 BNK WBST ',INSURANCE
ENG_57,' PRM SK SRK LK ',GK
ENG_366x,' XT SNX IRKT ',INDIAN
ENG_329,' SPX RPRT RSFR ',TELECOMMUNICATION
ENG_216x,' ST INTN  FST SPS ',GK
ENG_427x,' TF TRNS US AM FRK MTLT ',TELECOMMUNICATION
ENG_398,'  TSPS AKR PLST ',AGRICULTURE
ENG_344,' BNK PRFT OPRT LS ',BANK
ENG_402,' S MT PMNT  NR ',BANK
ENG_548,' FKST PST NM  ',WEB
ENG_89,'  BSNL KN ',TELECOMMUNICATION
ENGLISH_613,' KRR NTRK LNK ',CAREER
ENG_77,' NK PRSN INHR MKLR TJNR PRNT XT ARTS ',SPORTS
ENG_177,' UTPR KT  FST ',TOURISM
ENG_446x,' 0R ANML 0T S WT BLT YS TL NM ',GK
ENG_371,' BKM SLNK BRKR ',LOAN
ENG_295x,' X ANML S KT BLT ',GK
ENG_325,' FTS HT TLKM PRFS PLSS ',TELECOMMUNICATION
ENG_139x,' PRKT  APL BSNL KNKK ',TELECOMMUNICATION
ENG_42,' JB PLSM ',CAREER
ENG_87,' LF RNT TNT INSR RKT ',INSURANCE
ENG_393,' RSRF STTS TKT ',INDIAN
ENG_581,' JM RSP  PPY STL TRT RS ',RECIPES
ENG_43,' KRR SSNS KNFT ',CAREER
ENGLISH_689,' X WRLT LRJT TMNT PRTS KNTR ',GK
ENGLISH_647,' X BS BL LK TM WLT TSN OP KNTR   ',SPORTS
ENG_420,' 0R KST  INTR LN ',LOAN
ENG_586,' SMBR RSP ',RECIPES
ENG_367x,' AKTF IRKT ',INDIAN
ENG_251,' HL0 KK KFRT TS PLS ',INSURANCE
ENG_466,' ATFN ISTN ',TELECOMMUNICATION
ENG_573,' Y BK PS HT KRST ',RECIPES
ENG_510,' JLB TPS PL ',RECIPES
ENG_542,' TSN ST HST ELSH ',WEB
ENG_500,' KNFT PRST ',PERSONALITY
ENG_147,' XN TRPT ',TOURISM
ENGLISH_625,' 0 FRNT ATSL KNKX BSNL KNT ON ',TELECOMMUNICATION
ENG_443,' T MNT KXLS FKLT ',INSURANCE
ENG_128,' TPS NXNS KPK NTL ',BANK
ENG_516,' KKNT XTN PRPR ',RECIPES
ENG_314,' KNSL TKT IRKT ',INDIAN
ENG_562,' PMNT SKMS APLK ',WEB
ENG_429,' ATFN ISTN ',TELECOMMUNICATION
ENG_530,' KNFR TRST FS STTN FS ',VISA
ENG_273,' EFKT KLT WFLN FBR OPTK KBL ',TELECOMMUNICATION
ENG_416,' ARTK SNT  ELKT ',LOAN
ENG_534,' APLK PRSN SBMT AP ',VISA
ENG_225,' T TT KN R SBMT FRM ',AGRICULTURE
ENG_376,' FTMN NT FNT PTT ',SPORTS
ENG_406,' IMP TNK FLNT ',CAREER
ENGLISH_658,' KLMT RKRT TSKN ',SPORTS
ENG_270x,' LSR STML K ',TELECOMMUNICATION
ENGLISH_676,' EMPL PSXL ',CAREER
ENGLISH_662,' EMPL ALWT XNJ HL0 BNFT PRKR LSR BNFT ',INSURANCE
ENG_337,' PNS EMPL FRT ',AGRICULTURE
ENG_517,' TL ES STPS KKNT XTN ',RECIPES
ENG_388,' TRPT XN ',TOURISM
ENG_414,' A0RS ',INSURANCE
ENG_238,' T SB MSK M0S X UNFR FR SPXL ',CAREER
ENGLISH_640,' MNMM ANL INKM RKRT ELJB KRTK ILNS INSR  ',INSURANCE
ENG_567,' Y KNTR PNL LNKS AKK ',WEB
ENG_384,' RKRT FR TPLK KM USNK  R KT ',TELECOMMUNICATION
ENG_226,' X AKR PRTK SRTF ORKN ',AGRICULTURE
ENG_479,' F TNT PK KPST TRF ',INTERNAL
ENG_25,' FTS AT SWP ',BANK
ENG_39,' OFTN KRR KNSL MT ',CAREER
ENG_326,' FT SFSS PRFT HTLK ',TELECOMMUNICATION
ENG_407,' 0R L0 BNFT  ALKH ',HEALTH
ENG_456,' KT TTL TRNS AF NTR KRS ',INDIAN
ENG_24,' KNSS PRFT RTL LNS ',BANK
ENG_491,' T PRSN ',PERSONALITY
ENGLISH_668,' BLT TNXN INKR RSK HF INFK ',HEALTH
ENG_554,' RK TMN NM ',WEB
ENG_549,' EKSP TMN NMS ',WEB
ENG_119,' TN PRFL WTS IT ',HEALTH
ENGLISH_634,' HRT ATK KNSR STRK KFRT L0 INSR PLS  ',INSURANCE
ENG_582,' NT BK PS HT KRST ',RECIPES
ENG_60x,' N WRLT ENFR T SLB ',GK
ENGLISH_685,' ST KFNR JNL FR INT ',GK
ENG_219,' BST MTKN  KLT ',HEALTH
ENGLISH_638,' PNS MN STLN N AM ',INSURANCE
ENG_536,' STJ MNSN WNTR ',VISA
ENG_250,' TS KXLS KLM ',INSURANCE
ENG_454,' AM BTX INST FNL R STTN  LK  ABT PK PRKS OFRT INT ',CAREER
ENG_260,' T BR FRM USF LBRR ',LOAN
ENG_497,' TL FKTR TSKR HMN PRSN ',PERSONALITY
ENGLISH_664,' XT INFS KX PLS N SFNK RT BTR ',INSURANCE
ENG_359,' LNK HF SRFF BT ',HEALTH
ENG_56x,' TS XNS NTNL FLR ',GK
ENG_111,' FTS FTRN TRBL RPLY LN ',LOAN
ENG_174,' KNTR PRTK  TK RLT ',GK
ENG_7,' JM INF ABT BLK RPKJ PSTS ',AGRICULTURE
ENG_560,' WTS UR BSNS ML SRFS ',WEB
ENG_601,' AKTF IRKT MBL ',INDIAN
ENG_115,' FTRN PRXS F ONT PRP ',LOAN
ENG_283,' FRM R  N ABT FRTL ',AGRICULTURE
ENG_302,' ALXL KS ULSR ',HEALTH
ENG_146,' MK BKN OTST KNTR ',TOURISM
ENG_297x,' X ST MTN RLT ',GK
ENG_570,' KK TK BLS HT TK SS ',RECIPES
ENG_557,' WTS T RSL ',WEB
ENGLISH_654,' WRLT KRKT PLYR ',SPORTS
ENG_352,' EX KNTR S LRKS LNT ',GK
ENG_380x,' TSTF RLT SPS ',TELECOMMUNICATION
ENG_509,' KLKN ',RECIPES
ENG_365x,' MN ITKT STR IRKT ',INDIAN
ENG_232,' IM STSN AKR BNKL INT JFT ',BANK
ENG_168,' BKM PLT BSK M0S ',CAREER
ENG_60,' FN RLT ENFR T ',GK
ENG_286,' MN TPS AKKN 0R  KSTM ',BANK
ENGLISH_692,' X ST KNTR HST MTRN OLMP ',GK
ENG_294,' FT PLKM SRFS ',CAREER
ENG_314x,' PSBL KNKL TKTS USNK IRKT MBL ',INDIAN
ENG_432,' INT WR NRML SNFL APRL ENT ',TOURISM
ENG_533,'  P FS XRJ ',VISA
ENG_558,' WTS KJ ASS ',WEB
ENGLISH_686,' INTN PM RSN KMPL TRM ',GK
ENG_144,' HPNS NMS LST EFN 0 BKN ',TOURISM
ENG_149,' TL XRTS TST TRFN TRXR ',TOURISM
ENG_109,' TTKL BKNK ',INDIAN
ENG_489,' WNT HRTR ENHN SK ERS FNK TRS ',INTERNAL
ENG_108,' PLN JRN USNK INTR RSRF ',INDIAN
ENG_494,' NLJ  PRSN TF ',PERSONALITY
ENG_272x,' FM BRTK PRFR FR MSKT TRNS ',TELECOMMUNICATION
ENGLISH_686x,' S ST INTN PM  RSN 0T KMPL TRM ',GK
ENG_325x,' HT TLKM PRFS PLSS ',TELECOMMUNICATION
ENG_408,' ALKL PSNN IS M0 RL ',HEALTH
ENG_465,' TP PMNT M0T TLKM ',TELECOMMUNICATION
ENGLISH_655,' TTLS KLFK PSXN ',CAREER
ENG_503,' RSP KBH MNXR ',RECIPES
ENG_320,' WRLT BT KRKT ',SPORTS
ENG_437,' APL  F KRNT LN ',LOAN
ENGLISH_615,' HPLK JNKR PRJ TFRN FML TR TN ',HEALTH
ENG_392x,' IRKT MBL ',INDIAN
ENG_365,' MN ITKT STR MBL ',INDIAN
ENGLISH_692x,' X KNTR ST HSTT MTRN OLMP ',GK
ENG_277,' SKST RSTR MMB ',TOURISM
ENG_319,' 0R N PNLT  OFRT ITMS ',LOAN
ENGLISH_632,' MN PNLT NTS ALNS AKSP BSNS PFT MTR INSR PLS ',INSURANCE
ENG_21,' LFN RNT Y INSR ',INSURANCE
ENG_193,'  ONLN XPN ',BANK
ENGLISH_652,' X FML KLFR NK TK ',SPORTS
ENG_480,' AM JTN FRMT TTNT KMPL FRMT  ',INTERNAL
ENG_321,' TP RXST PLYR WRLT ',SPORTS
ENG_428,' TT TRNS RKPT USNK OPTK KM ',TELECOMMUNICATION
ENG_293,' FT KNTS JBS 0R  KRTT ',CAREER
ENG_158,' STRT AKR BS ',AGRICULTURE
ENG_555,' PK TMN NM ',WEB
ENG_51,' AM UNMP SPS EMPL KLF LN MTFK NMS MRTK ',LOAN
ENG_266,' WNR  PK PLR R ',SPORTS
ENG_403x,' TS UNTT NTNS STNT  ',GK
ENG_363,' AFBL TFTN OPTN ',INSURANCE
ENG_233,' TNT SBMT LF SRT NF ABT PNXN ',BANK
ENG_572,' PPY STL TRT RS ',RECIPES
ENG_459x,' N NR AFT MKK PMNT ',INDIAN
ENGLISH_636,' KSTM OFKR ARPR ',CAREER
ENG_575,' RSM MSL ',RECIPES
ENG_23,' WTS RMBR KLM ',INSURANCE
ENG_459,' WL KT NR ONK PMNT MT ',INDIAN
ENG_298x,' X LRKS TSRT RLT ',GK
ENG_142,' UPLT ',TELECOMMUNICATION
ENG_32,' KX FK BL AMT OK ',INSURANCE
ENG_313x,' BK TKTS USNK IRKT MBL ',INDIAN
ENG_58,' X KTW KLF IRN ',GK
ENG_518,'  MNT XTN ',RECIPES
ENG_47,' T PMNT M0TS ',INDIAN
ENG_481,' AM JTN 0 TSK TMJT FRMT  ',INTERNAL
ENG_360,' PRXS LF INSR ',INSURANCE
ENG_436,' N IL ',LOAN
ENG_244x,' S ST INTN NF FS ATMR ',GK
ENG_191,' Y TL R AKR MXNR ',AGRICULTURE
ENG_241,' WS ASSN JN KNT ',GK
ENG_103x,' ATFT ISTN ',TELECOMMUNICATION
ENG_289,' FT MLTS XK ',BANK
ENG_435,' AR AMBL ',TOURISM
ENG_99x,' MK PMNT ETKT ',INDIAN
ENGLISH_684,' T KRT BT ',SPORTS
ENG_164,' SKNL KTNK TKTN ',TELECOMMUNICATION
ENG_318,' T PRST PYF LN ',LOAN
ENG_400,' MX WTTR FRM ATM PR T ',BANK
ENG_270,' LSR STML RKS ',TELECOMMUNICATION
ENG_274,' E0RN KT ',TELECOMMUNICATION
ENG_256,' TL FRNT ABT IRKT MBL ',INDIAN
ENG_404,' TS PRJK FNNK ',BANK
ENG_413,' XLT B KRTK ILNS KFR ',INSURANCE
ENG_402x,' TS LNK0 ENK KNL ',GK
ENG_330,' ST XS INT OFR O0R TSTN ',TOURISM
ENG_254,' R SBMT KLM ',INSURANCE
